"filename", "language", "JSON with Comments", "sqlite3-editor-database", "JavaScript", "JSON", "TypeScript", "Markdown", "Log", "Docker", "TypeScript JSX", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\projects\r2h\r2h_project_3day_challenge\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\projects\r2h\r2h_project_3day_challenge\.next\app-build-manifest.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"c:\projects\r2h\r2h_project_3day_challenge\.next\build-manifest.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\projects\r2h\r2h_project_3day_challenge\.next\package.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\react-loadable-manifest.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app-paths-manifest.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\aboutme\page.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 97, 365
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\aboutme\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\college\page.js", "JavaScript", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 113, 425
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\college\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\contactme\page.js", "JavaScript", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 107, 403
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\contactme\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\formdata\page.js", "JavaScript", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 113, 425
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\formdata\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\r2h\page.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 97, 365
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\r2h\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\rustpage\page.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 97, 365
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\app\rustpage\page_client-reference-manifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
